"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.00000000000E+008, -7.22897141950E-001, +0.00000000000E+000
+2.03272727273E+008, -7.09737087329E-001, +0.00000000000E+000
+2.06545454545E+008, -6.94651647557E-001, +0.00000000000E+000
+2.09818181818E+008, -6.77528185089E-001, +0.00000000000E+000
+2.13090909091E+008, -6.60513476383E-001, +0.00000000000E+000
+2.16363636364E+008, -6.45079952830E-001, +0.00000000000E+000
+2.19636363636E+008, -6.32556980668E-001, +0.00000000000E+000
+2.22909090909E+008, -6.25038298664E-001, +0.00000000000E+000
+2.26181818182E+008, -6.22097158861E-001, +0.00000000000E+000
+2.29454545455E+008, -6.25027952326E-001, +0.00000000000E+000
+2.32727272727E+008, -6.33787940916E-001, +0.00000000000E+000
+2.36000000000E+008, -6.47921000197E-001, +0.00000000000E+000
+2.39272727273E+008, -6.67396917140E-001, +0.00000000000E+000
+2.42545454545E+008, -6.90891957595E-001, +0.00000000000E+000
+2.45818181818E+008, -7.17387936566E-001, +0.00000000000E+000
+2.49090909091E+008, -7.45817184714E-001, +0.00000000000E+000
+2.52363636364E+008, -7.73769898548E-001, +0.00000000000E+000
+2.55636363636E+008, -8.00642150513E-001, +0.00000000000E+000
+2.58909090909E+008, -8.24628584279E-001, +0.00000000000E+000
+2.62181818182E+008, -8.45383505311E-001, +0.00000000000E+000
+2.65454545455E+008, -8.61542038614E-001, +0.00000000000E+000
+2.68727272727E+008, -8.71422215014E-001, +0.00000000000E+000
+2.72000000000E+008, -8.76055979194E-001, +0.00000000000E+000
+2.75272727273E+008, -8.76409508153E-001, +0.00000000000E+000
+2.78545454545E+008, -8.75252515855E-001, +0.00000000000E+000
+2.81818181818E+008, -8.62338882717E-001, +0.00000000000E+000
+2.85090909091E+008, -8.47974309484E-001, +0.00000000000E+000
+2.88363636364E+008, -8.34426039633E-001, +0.00000000000E+000
+2.91636363636E+008, -8.18298553482E-001, +0.00000000000E+000
+2.94909090909E+008, -8.01574807664E-001, +0.00000000000E+000
+2.98181818182E+008, -7.86635314271E-001, +0.00000000000E+000
+3.01454545455E+008, -7.73643361610E-001, +0.00000000000E+000
+3.04727272727E+008, -7.62868200351E-001, +0.00000000000E+000
+3.08000000000E+008, -7.56735980588E-001, +0.00000000000E+000
+3.11272727273E+008, -7.55686107831E-001, +0.00000000000E+000
+3.14545454545E+008, -7.60479016539E-001, +0.00000000000E+000
+3.17818181818E+008, -7.70353301363E-001, +0.00000000000E+000
