"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.00000000000E+008, -1.48222066529E+001, +0.00000000000E+000
+4.01454545455E+008, -1.47738252021E+001, +0.00000000000E+000
+4.02909090909E+008, -1.47255217163E+001, +0.00000000000E+000
+4.04363636364E+008, -1.46749070818E+001, +0.00000000000E+000
+4.05818181818E+008, -1.46243747840E+001, +0.00000000000E+000
+4.07272727273E+008, -1.45732709299E+001, +0.00000000000E+000
+4.08727272727E+008, -1.45226665277E+001, +0.00000000000E+000
+4.10181818182E+008, -1.44719477451E+001, +0.00000000000E+000
+4.11636363636E+008, -1.44197916319E+001, +0.00000000000E+000
+4.13090909091E+008, -1.43683803083E+001, +0.00000000000E+000
+4.14545454545E+008, -1.43169734730E+001, +0.00000000000E+000
+4.16000000000E+008, -1.42655700526E+001, +0.00000000000E+000
+4.17454545455E+008, -1.42137884370E+001, +0.00000000000E+000
+4.18909090909E+008, -1.41620616052E+001, +0.00000000000E+000
+4.20363636364E+008, -1.41107514167E+001, +0.00000000000E+000
+4.21818181818E+008, -1.40591407796E+001, +0.00000000000E+000
+4.23272727273E+008, -1.40085267217E+001, +0.00000000000E+000
+4.24727272727E+008, -1.39585199674E+001, +0.00000000000E+000
+4.26181818182E+008, -1.39097310777E+001, +0.00000000000E+000
+4.27636363636E+008, -1.38616779857E+001, +0.00000000000E+000
+4.29090909091E+008, -1.38143897076E+001, +0.00000000000E+000
+4.30545454545E+008, -1.37683868132E+001, +0.00000000000E+000
+4.32000000000E+008, -1.37237194413E+001, +0.00000000000E+000
+4.33454545455E+008, -1.36791675918E+001, +0.00000000000E+000
+4.34909090909E+008, -1.36364990252E+001, +0.00000000000E+000
+4.36363636364E+008, -1.35957128567E+001, +0.00000000000E+000
+4.37818181818E+008, -1.35559697594E+001, +0.00000000000E+000
+4.39272727273E+008, -1.35137563509E+001, +0.00000000000E+000
+4.40727272727E+008, -1.34788158642E+001, +0.00000000000E+000
+4.42181818182E+008, -1.34395820601E+001, +0.00000000000E+000
+4.43636363636E+008, -1.34030952544E+001, +0.00000000000E+000
+4.45090909091E+008, -1.33670339859E+001, +0.00000000000E+000
+4.46545454545E+008, -1.33318600497E+001, +0.00000000000E+000
+4.48000000000E+008, -1.32974773970E+001, +0.00000000000E+000
+4.49454545455E+008, -1.32654775072E+001, +0.00000000000E+000
+4.50909090909E+008, -1.32354416748E+001, +0.00000000000E+000
+4.52363636364E+008, -1.32075947421E+001, +0.00000000000E+000
+4.53818181818E+008, -1.31795975658E+001, +0.00000000000E+000
+4.55272727273E+008, -1.31506090703E+001, +0.00000000000E+000
+4.56727272727E+008, -1.31190285039E+001, +0.00000000000E+000
+4.58181818182E+008, -1.30858022025E+001, +0.00000000000E+000
+4.59636363636E+008, -1.30506390442E+001, +0.00000000000E+000
+4.61090909091E+008, -1.30141981603E+001, +0.00000000000E+000
+4.62545454545E+008, -1.29754059715E+001, +0.00000000000E+000
+4.64000000000E+008, -1.29352616924E+001, +0.00000000000E+000
+4.65454545455E+008, -1.28940964541E+001, +0.00000000000E+000
+4.66909090909E+008, -1.28524991719E+001, +0.00000000000E+000
+4.68363636364E+008, -1.28102456082E+001, +0.00000000000E+000
+4.69818181818E+008, -1.27661149071E+001, +0.00000000000E+000
+4.71272727273E+008, -1.27215056128E+001, +0.00000000000E+000
+4.72727272727E+008, -1.26752913989E+001, +0.00000000000E+000
+4.74181818182E+008, -1.26270228865E+001, +0.00000000000E+000
+4.75636363636E+008, -1.25778467429E+001, +0.00000000000E+000
+4.77090909091E+008, -1.25271011827E+001, +0.00000000000E+000
+4.78545454545E+008, -1.24751375730E+001, +0.00000000000E+000
+4.80000000000E+008, -1.24218194674E+001, +0.00000000000E+000
+4.81454545455E+008, -1.23674724283E+001, +0.00000000000E+000
+4.82909090909E+008, -1.23118689729E+001, +0.00000000000E+000
+4.84363636364E+008, -1.22557773387E+001, +0.00000000000E+000
+4.85818181818E+008, -1.21987449818E+001, +0.00000000000E+000
+4.87272727273E+008, -1.21411482368E+001, +0.00000000000E+000
+4.88727272727E+008, -1.20814155313E+001, +0.00000000000E+000
+4.90181818182E+008, -1.20202421281E+001, +0.00000000000E+000
+4.91636363636E+008, -1.19588573983E+001, +0.00000000000E+000
+4.93090909091E+008, -1.18961602804E+001, +0.00000000000E+000
+4.94545454545E+008, -1.18339060449E+001, +0.00000000000E+000
+4.96000000000E+008, -1.17736515648E+001, +0.00000000000E+000
+4.97454545455E+008, -1.17149525719E+001, +0.00000000000E+000
+4.98909090909E+008, -1.16599167551E+001, +0.00000000000E+000
+5.00363636364E+008, -1.16084098537E+001, +0.00000000000E+000
+5.01818181818E+008, -1.15605107798E+001, +0.00000000000E+000
+5.03272727273E+008, -1.15155759613E+001, +0.00000000000E+000
+5.04727272727E+008, -1.14737444917E+001, +0.00000000000E+000
+5.06181818182E+008, -1.14350664807E+001, +0.00000000000E+000
+5.07636363636E+008, -1.13975523715E+001, +0.00000000000E+000
+5.09090909091E+008, -1.13601227094E+001, +0.00000000000E+000
+5.10545454545E+008, -1.13211039529E+001, +0.00000000000E+000
+5.12000000000E+008, -1.12792148073E+001, +0.00000000000E+000
+5.13454545455E+008, -1.12336984560E+001, +0.00000000000E+000
+5.14909090909E+008, -1.11881546516E+001, +0.00000000000E+000
+5.16363636364E+008, -1.11442451031E+001, +0.00000000000E+000
+5.17818181818E+008, -1.11031384180E+001, +0.00000000000E+000
+5.19272727273E+008, -1.10651387151E+001, +0.00000000000E+000
+5.20727272727E+008, -1.10287386662E+001, +0.00000000000E+000
+5.22181818182E+008, -1.09935186437E+001, +0.00000000000E+000
+5.23636363636E+008, -1.09604532896E+001, +0.00000000000E+000
+5.25090909091E+008, -1.09271039279E+001, +0.00000000000E+000
+5.26545454545E+008, -1.08940975463E+001, +0.00000000000E+000
+5.28000000000E+008, -1.08612025854E+001, +0.00000000000E+000
+5.29454545455E+008, -1.08293397499E+001, +0.00000000000E+000
+5.30909090909E+008, -1.07961603846E+001, +0.00000000000E+000
+5.32363636364E+008, -1.07630389694E+001, +0.00000000000E+000
+5.33818181818E+008, -1.07292514960E+001, +0.00000000000E+000
+5.35272727273E+008, -1.06949929983E+001, +0.00000000000E+000
+5.36727272727E+008, -1.06594120266E+001, +0.00000000000E+000
+5.38181818182E+008, -1.06219958463E+001, +0.00000000000E+000
+5.39636363636E+008, -1.05835022088E+001, +0.00000000000E+000
+5.41090909091E+008, -1.05434616673E+001, +0.00000000000E+000
+5.42545454545E+008, -1.05020778238E+001, +0.00000000000E+000
+5.44000000000E+008, -1.04589954780E+001, +0.00000000000E+000
+5.45454545455E+008, -1.04157606863E+001, +0.00000000000E+000
+5.46909090909E+008, -1.03709444900E+001, +0.00000000000E+000
+5.48363636364E+008, -1.03242871457E+001, +0.00000000000E+000
+5.49818181818E+008, -1.02769031060E+001, +0.00000000000E+000
+5.51272727273E+008, -1.02282523390E+001, +0.00000000000E+000
+5.52727272727E+008, -1.01783787950E+001, +0.00000000000E+000
+5.54181818182E+008, -1.01273938436E+001, +0.00000000000E+000
+5.55636363636E+008, -1.00753666079E+001, +0.00000000000E+000
+5.57090909091E+008, -1.00225451856E+001, +0.00000000000E+000
+5.58545454545E+008, -9.96964782099E+000, +0.00000000000E+000
+5.60000000000E+008, -9.91720468779E+000, +0.00000000000E+000
+5.61454545455E+008, -9.86627617811E+000, +0.00000000000E+000
+5.62909090909E+008, -9.81919661617E+000, +0.00000000000E+000
+5.64363636364E+008, -9.77268558924E+000, +0.00000000000E+000
+5.65818181818E+008, -9.72253014439E+000, +0.00000000000E+000
+5.67272727273E+008, -9.66929626629E+000, +0.00000000000E+000
+5.68727272727E+008, -9.61552810603E+000, +0.00000000000E+000
+5.70181818182E+008, -9.56166057017E+000, +0.00000000000E+000
+5.71636363636E+008, -9.50918119866E+000, +0.00000000000E+000
+5.73090909091E+008, -9.45773058371E+000, +0.00000000000E+000
+5.74545454545E+008, -9.40620706538E+000, +0.00000000000E+000
+5.76000000000E+008, -9.35731450073E+000, +0.00000000000E+000
+5.77454545455E+008, -9.30924861649E+000, +0.00000000000E+000
+5.78909090909E+008, -9.26202341947E+000, +0.00000000000E+000
+5.80363636364E+008, -9.21549734698E+000, +0.00000000000E+000
+5.81818181818E+008, -9.16879369456E+000, +0.00000000000E+000
+5.83272727273E+008, -9.12193546803E+000, +0.00000000000E+000
+5.84727272727E+008, -9.07541210442E+000, +0.00000000000E+000
+5.86181818182E+008, -9.02832957981E+000, +0.00000000000E+000
+5.87636363636E+008, -8.98247278061E+000, +0.00000000000E+000
+5.89090909091E+008, -8.93650939706E+000, +0.00000000000E+000
+5.90545454545E+008, -8.89054675429E+000, +0.00000000000E+000
+5.92000000000E+008, -8.84533174534E+000, +0.00000000000E+000
+5.93454545455E+008, -8.80090171071E+000, +0.00000000000E+000
+5.94909090909E+008, -8.75705120542E+000, +0.00000000000E+000
+5.96363636364E+008, -8.71375589514E+000, +0.00000000000E+000
+5.97818181818E+008, -8.67089310327E+000, +0.00000000000E+000
+5.99272727273E+008, -8.62897013585E+000, +0.00000000000E+000
+6.00727272727E+008, -8.58744828050E+000, +0.00000000000E+000
+6.02181818182E+008, -8.54577645820E+000, +0.00000000000E+000
+6.03636363636E+008, -8.50490445340E+000, +0.00000000000E+000
+6.05090909091E+008, -8.46479885869E+000, +0.00000000000E+000
+6.06545454545E+008, -8.42512170718E+000, +0.00000000000E+000
+6.08000000000E+008, -8.38572615616E+000, +0.00000000000E+000
+6.09454545455E+008, -8.34760323766E+000, +0.00000000000E+000
+6.10909090909E+008, -8.31035961313E+000, +0.00000000000E+000
+6.12363636364E+008, -8.27316339021E+000, +0.00000000000E+000
+6.13818181818E+008, -8.23715156662E+000, +0.00000000000E+000
+6.15272727273E+008, -8.19996794295E+000, +0.00000000000E+000
+6.16727272727E+008, -8.16202671413E+000, +0.00000000000E+000
+6.18181818182E+008, -8.12171682064E+000, +0.00000000000E+000
+6.19636363636E+008, -8.08082428898E+000, +0.00000000000E+000
+6.21090909091E+008, -8.03785934257E+000, +0.00000000000E+000
+6.22545454545E+008, -7.99415071455E+000, +0.00000000000E+000
+6.24000000000E+008, -7.95023894748E+000, +0.00000000000E+000
+6.25454545455E+008, -7.90602143321E+000, +0.00000000000E+000
+6.26909090909E+008, -7.86347824248E+000, +0.00000000000E+000
+6.28363636364E+008, -7.82354427172E+000, +0.00000000000E+000
+6.29818181818E+008, -7.78921630899E+000, +0.00000000000E+000
+6.31272727273E+008, -7.76312988127E+000, +0.00000000000E+000
+6.32727272727E+008, -7.74279954173E+000, +0.00000000000E+000
+6.34181818182E+008, -7.71845730702E+000, +0.00000000000E+000
+6.35636363636E+008, -7.68494296615E+000, +0.00000000000E+000
+6.37090909091E+008, -7.64430885280E+000, +0.00000000000E+000
+6.38545454545E+008, -7.60036035022E+000, +0.00000000000E+000
+6.40000000000E+008, -7.55562211289E+000, +0.00000000000E+000
+6.41454545455E+008, -7.51048257090E+000, +0.00000000000E+000
+6.42909090909E+008, -7.46559198199E+000, +0.00000000000E+000
+6.44363636364E+008, -7.42072547575E+000, +0.00000000000E+000
+6.45818181818E+008, -7.37659692045E+000, +0.00000000000E+000
+6.47272727273E+008, -7.33255773994E+000, +0.00000000000E+000
+6.48727272727E+008, -7.28850002164E+000, +0.00000000000E+000
+6.50181818182E+008, -7.24575028183E+000, +0.00000000000E+000
+6.51636363636E+008, -7.20306637060E+000, +0.00000000000E+000
+6.53090909091E+008, -7.16054229227E+000, +0.00000000000E+000
+6.54545454545E+008, -7.12001015623E+000, +0.00000000000E+000
+6.56000000000E+008, -7.08104672885E+000, +0.00000000000E+000
+6.57454545455E+008, -7.04215120665E+000, +0.00000000000E+000
+6.58909090909E+008, -7.00250354672E+000, +0.00000000000E+000
+6.60363636364E+008, -6.96218042638E+000, +0.00000000000E+000
+6.61818181818E+008, -6.92030230645E+000, +0.00000000000E+000
+6.63272727273E+008, -6.87649900354E+000, +0.00000000000E+000
+6.64727272727E+008, -6.83193227779E+000, +0.00000000000E+000
+6.66181818182E+008, -6.78714895514E+000, +0.00000000000E+000
+6.67636363636E+008, -6.74259651197E+000, +0.00000000000E+000
+6.69090909091E+008, -6.69768406796E+000, +0.00000000000E+000
+6.70545454545E+008, -6.65322301422E+000, +0.00000000000E+000
+6.72000000000E+008, -6.60882557527E+000, +0.00000000000E+000
+6.73454545455E+008, -6.56492760317E+000, +0.00000000000E+000
+6.74909090909E+008, -6.52103270806E+000, +0.00000000000E+000
+6.76363636364E+008, -6.47742059827E+000, +0.00000000000E+000
+6.77818181818E+008, -6.43424638208E+000, +0.00000000000E+000
+6.79272727273E+008, -6.39188908126E+000, +0.00000000000E+000
+6.80727272727E+008, -6.35006668398E+000, +0.00000000000E+000
+6.82181818182E+008, -6.30901277050E+000, +0.00000000000E+000
+6.83636363636E+008, -6.26796818698E+000, +0.00000000000E+000
+6.85090909091E+008, -6.22841790804E+000, +0.00000000000E+000
+6.86545454545E+008, -6.18979831929E+000, +0.00000000000E+000
+6.88000000000E+008, -6.15256585059E+000, +0.00000000000E+000
+6.89454545455E+008, -6.11599847527E+000, +0.00000000000E+000
+6.90909090909E+008, -6.08020565963E+000, +0.00000000000E+000
+6.92363636364E+008, -6.04388251149E+000, +0.00000000000E+000
+6.93818181818E+008, -6.00778375150E+000, +0.00000000000E+000
+6.95272727273E+008, -5.97220605471E+000, +0.00000000000E+000
+6.96727272727E+008, -5.93932035610E+000, +0.00000000000E+000
+6.98181818182E+008, -5.90691409467E+000, +0.00000000000E+000
+6.99636363636E+008, -5.87719389097E+000, +0.00000000000E+000
+7.01090909091E+008, -5.84896381694E+000, +0.00000000000E+000
+7.02545454545E+008, -5.81914286864E+000, +0.00000000000E+000
+7.04000000000E+008, -5.78777448659E+000, +0.00000000000E+000
+7.05454545455E+008, -5.75507647985E+000, +0.00000000000E+000
+7.06909090909E+008, -5.72152346634E+000, +0.00000000000E+000
+7.08363636364E+008, -5.68800075721E+000, +0.00000000000E+000
+7.09818181818E+008, -5.65475972205E+000, +0.00000000000E+000
+7.11272727273E+008, -5.62097498422E+000, +0.00000000000E+000
+7.12727272727E+008, -5.58677101220E+000, +0.00000000000E+000
+7.14181818182E+008, -5.55289540892E+000, +0.00000000000E+000
+7.15636363636E+008, -5.51855118256E+000, +0.00000000000E+000
+7.17090909091E+008, -5.48405270011E+000, +0.00000000000E+000
+7.18545454545E+008, -5.44883241502E+000, +0.00000000000E+000
+7.20000000000E+008, -5.41298818373E+000, +0.00000000000E+000
+7.21454545455E+008, -5.37611296715E+000, +0.00000000000E+000
+7.22909090909E+008, -5.33912143575E+000, +0.00000000000E+000
+7.24363636364E+008, -5.30116435305E+000, +0.00000000000E+000
+7.25818181818E+008, -5.26382099009E+000, +0.00000000000E+000
+7.27272727273E+008, -5.22368535812E+000, +0.00000000000E+000
+7.28727272727E+008, -5.18334513306E+000, +0.00000000000E+000
+7.30181818182E+008, -5.14256957966E+000, +0.00000000000E+000
+7.31636363636E+008, -5.10039284110E+000, +0.00000000000E+000
+7.33090909091E+008, -5.05709951821E+000, +0.00000000000E+000
+7.34545454545E+008, -5.01283391995E+000, +0.00000000000E+000
+7.36000000000E+008, -4.96916771481E+000, +0.00000000000E+000
+7.37454545455E+008, -4.92365403273E+000, +0.00000000000E+000
+7.38909090909E+008, -4.87821148682E+000, +0.00000000000E+000
+7.40363636364E+008, -4.83279415341E+000, +0.00000000000E+000
+7.41818181818E+008, -4.78733056243E+000, +0.00000000000E+000
+7.43272727273E+008, -4.74154308994E+000, +0.00000000000E+000
+7.44727272727E+008, -4.69618508375E+000, +0.00000000000E+000
+7.46181818182E+008, -4.65078945676E+000, +0.00000000000E+000
+7.47636363636E+008, -4.60695467826E+000, +0.00000000000E+000
+7.49090909091E+008, -4.56409851171E+000, +0.00000000000E+000
+7.50545454545E+008, -4.52302623573E+000, +0.00000000000E+000
+7.52000000000E+008, -4.48563875673E+000, +0.00000000000E+000
+7.53454545455E+008, -4.45280640533E+000, +0.00000000000E+000
+7.54909090909E+008, -4.42785490550E+000, +0.00000000000E+000
+7.56363636364E+008, -4.41525960956E+000, +0.00000000000E+000
+7.57818181818E+008, -4.41787547950E+000, +0.00000000000E+000
+7.59272727273E+008, -4.43265749433E+000, +0.00000000000E+000
+7.60727272727E+008, -4.44260509654E+000, +0.00000000000E+000
+7.62181818182E+008, -4.43216914217E+000, +0.00000000000E+000
+7.63636363636E+008, -4.40054006932E+000, +0.00000000000E+000
+7.65090909091E+008, -4.35525118425E+000, +0.00000000000E+000
+7.66545454545E+008, -4.30512323884E+000, +0.00000000000E+000
+7.68000000000E+008, -4.25526404176E+000, +0.00000000000E+000
+7.69454545455E+008, -4.20772285712E+000, +0.00000000000E+000
+7.70909090909E+008, -4.16340887570E+000, +0.00000000000E+000
+7.72363636364E+008, -4.12236102112E+000, +0.00000000000E+000
+7.73818181818E+008, -4.08424312551E+000, +0.00000000000E+000
+7.75272727273E+008, -4.04920030458E+000, +0.00000000000E+000
+7.76727272727E+008, -4.01582744872E+000, +0.00000000000E+000
+7.78181818182E+008, -3.98531462577E+000, +0.00000000000E+000
+7.79636363636E+008, -3.95809736523E+000, +0.00000000000E+000
+7.81090909091E+008, -3.93507865021E+000, +0.00000000000E+000
+7.82545454545E+008, -3.91807619111E+000, +0.00000000000E+000
+7.84000000000E+008, -3.90913247649E+000, +0.00000000000E+000
+7.85454545455E+008, -3.90962286527E+000, +0.00000000000E+000
+7.86909090909E+008, -3.91856986558E+000, +0.00000000000E+000
+7.88363636364E+008, -3.93163989062E+000, +0.00000000000E+000
+7.89818181818E+008, -3.93634856976E+000, +0.00000000000E+000
+7.91272727273E+008, -3.92635709005E+000, +0.00000000000E+000
+7.92727272727E+008, -3.90011825335E+000, +0.00000000000E+000
+7.94181818182E+008, -3.86407504294E+000, +0.00000000000E+000
+7.95636363636E+008, -3.82267650306E+000, +0.00000000000E+000
+7.97090909091E+008, -3.77980835223E+000, +0.00000000000E+000
+7.98545454545E+008, -3.73640633367E+000, +0.00000000000E+000
+8.00000000000E+008, -3.69417951751E+000, +0.00000000000E+000
+8.01454545455E+008, -3.65273723714E+000, +0.00000000000E+000
+8.02909090909E+008, -3.61141808413E+000, +0.00000000000E+000
+8.04363636364E+008, -3.57072539022E+000, +0.00000000000E+000
+8.05818181818E+008, -3.53045887381E+000, +0.00000000000E+000
+8.07272727273E+008, -3.48964127562E+000, +0.00000000000E+000
+8.08727272727E+008, -3.44883283902E+000, +0.00000000000E+000
+8.10181818182E+008, -3.40811885905E+000, +0.00000000000E+000
+8.11636363636E+008, -3.36799601051E+000, +0.00000000000E+000
+8.13090909091E+008, -3.32755847381E+000, +0.00000000000E+000
+8.14545454545E+008, -3.28835262784E+000, +0.00000000000E+000
+8.16000000000E+008, -3.25037562259E+000, +0.00000000000E+000
+8.17454545455E+008, -3.21280324047E+000, +0.00000000000E+000
+8.18909090909E+008, -3.17660336982E+000, +0.00000000000E+000
+8.20363636364E+008, -3.14118851934E+000, +0.00000000000E+000
+8.21818181818E+008, -3.10629757143E+000, +0.00000000000E+000
+8.23272727273E+008, -3.07117586485E+000, +0.00000000000E+000
+8.24727272727E+008, -3.03669111238E+000, +0.00000000000E+000
+8.26181818182E+008, -3.00263455422E+000, +0.00000000000E+000
+8.27636363636E+008, -2.96850930034E+000, +0.00000000000E+000
+8.29090909091E+008, -2.93532605714E+000, +0.00000000000E+000
+8.30545454545E+008, -2.90245633639E+000, +0.00000000000E+000
+8.32000000000E+008, -2.87180685298E+000, +0.00000000000E+000
+8.33454545455E+008, -2.84260921362E+000, +0.00000000000E+000
+8.34909090909E+008, -2.81552378590E+000, +0.00000000000E+000
+8.36363636364E+008, -2.79149815418E+000, +0.00000000000E+000
+8.37818181818E+008, -2.77096443847E+000, +0.00000000000E+000
+8.39272727273E+008, -2.75342764969E+000, +0.00000000000E+000
+8.40727272727E+008, -2.73859888360E+000, +0.00000000000E+000
+8.42181818182E+008, -2.72540194610E+000, +0.00000000000E+000
+8.43636363636E+008, -2.71428444657E+000, +0.00000000000E+000
